"gene_id"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"changed"	"selectedgene"	"ENTREZID"	"SYMBOL"
"ENSBTAG00000000005"	418.075225581757	0.0225439660776857	0.100310758425706	0.224741258380403	0.822180565982869	0.949078309134246	"Stable"	NA	"282136"	"GRK3"
"ENSBTAG00000000008"	0.238698245618033	1.38114919877728	2.26864914942733	0.608798059023768	0.542658300318561	NA	NA	NA	"539250"	"KCNJ1"
"ENSBTAG00000000009"	29.8533460402747	-0.136887575867686	0.238524990839548	-0.573891965726005	0.566040910178916	0.851297835986483	"Stable"	NA	"524813"	"FOXF1"
"ENSBTAG00000000010"	385.046691116093	-0.315387482856659	0.152402299513592	-2.06944044717994	0.0385047742857265	0.296349985083901	"Stable"	NA	"511289"	"UBL7"
"ENSBTAG00000000011"	4739.08823070691	0.319715212245255	0.179870869041832	1.77747077082782	0.0754908157954151	0.397276001127074	"Stable"	NA	"511957"	"TDH"
"ENSBTAG00000000012"	211.286444389521	0.0733651321304086	0.106147858473686	0.691159795264225	0.489465126576145	0.80982891473318	"Stable"	NA	"531278"	"TTC33"
"ENSBTAG00000000013"	550.644252956457	0.0451343944062938	0.0852778241789833	0.529262968899917	0.596623040347488	0.864850084635017	"Stable"	NA	"540404"	"PRKAA1"
"ENSBTAG00000000014"	977.279728146908	-0.0890260463388299	0.135705692747988	-0.65602293121303	0.5118093699557	0.824197521437671	"Stable"	NA	"281557"	"TXN2"
"ENSBTAG00000000015"	40.0215359072304	0.0912014882055134	0.232815119551948	0.391733528222009	0.695255114042047	0.904459815741781	"Stable"	NA	"532871"	"FOXRED2"
"ENSBTAG00000000016"	1.29244181996872	-1.05776503303778	0.880515099002997	-1.2013025491959	0.229633861956133	NA	NA	NA	"280845"	"LTA"
"ENSBTAG00000000019"	5070.96442095693	-0.0370178145326919	0.108198531797532	-0.34212862150442	0.732254098872474	0.918341928603999	"Stable"	NA	"539993"	"SERINC1"
"ENSBTAG00000000020"	55.497139658196	0.0202591495324386	0.276301047808765	0.0733227387051403	0.941549297529368	0.988879106295159	"Stable"	NA	"523538"	"TRPV3"
"ENSBTAG00000000021"	157.096067213654	-0.246062125626909	0.127690766910105	-1.92701580216946	0.0539776606393237	0.343668988041999	"Stable"	NA	"613720"	"WASHC3"
"ENSBTAG00000000022"	75.122089738	-0.187998563793236	0.144522267246626	-1.30082766742386	0.193317449357804	0.581080964877171	"Stable"	NA	"100139879"	"NUP37"
"ENSBTAG00000000023"	343.147137542167	0.312717065803893	0.104733246240526	2.9858433403823	0.00282797477427537	0.0751673592418919	"Stable"	NA	"540090"	"RNF2"
"ENSBTAG00000000024"	597.689038086508	0.185912442958116	0.118528958196736	1.56849807664331	0.116764938476378	0.473684714953818	"Stable"	NA	"613923"	"DYM"
"ENSBTAG00000000025"	1997.2636188051	0.290606970393986	0.125213246199304	2.32089638448812	0.0202924367364815	0.21717844701035	"Stable"	NA	"616537"	"RAB6A"
"ENSBTAG00000000026"	179.426686577288	-0.0765088796098947	0.0855615768731565	-0.894196699101488	0.371216658059193	0.739413945722488	"Stable"	NA	"526538"	"VPS33B"
"ENSBTAG00000000029"	0.0537595726400125	0.325061083678006	3.06038250977364	0.106215834994446	0.915411107508816	NA	"Stable"	NA	"540048"	"LYZL6"
"ENSBTAG00000000030"	3.56185897393046	-0.426378033943503	0.492799011246791	-0.865216902251402	0.386919750030047	NA	"Stable"	NA	"513486"	"RDM1"
"ENSBTAG00000000031"	6.46285890225978	0.141177337772011	0.387615626537861	0.364219933631135	0.715693782903288	NA	"Stable"	NA	"540259"	"TRPV4"
"ENSBTAG00000000032"	41.4311704505992	-0.0714488092507929	0.240625404776463	-0.296929616875524	0.766520244327739	0.930280522634011	"Stable"	NA	"529835"	"ABI3"
"ENSBTAG00000000033"	18.0451341813564	-0.127282324479216	0.274930063945038	-0.46296255365023	0.643391208411935	0.88326434014218	"Stable"	NA	"524639"	"PHOSPHO1"
"ENSBTAG00000000037"	175.162724209627	0.068827266554434	0.111571978977232	0.616886669801555	0.53730947987515	0.836977638482073	"Stable"	NA	"504397"	"CWC27"
"ENSBTAG00000000039"	173.882900981875	0.137674259142086	0.134309004851012	1.02505605856292	0.305336737450141	0.687392214347766	"Stable"	NA	"505662"	"SIRT7"
"ENSBTAG00000000040"	102.933957601965	0.0330888232379031	0.201942145838881	0.163852984231944	0.869846879904793	0.965669642065311	"Stable"	NA	"515219"	"MAFG"
"ENSBTAG00000000042"	47.10974530948	-0.0885182665745468	0.331482130679088	-0.267037823104385	0.789440039517316	0.939418537496681	"Stable"	NA	"539606"	"PYCR1"
"ENSBTAG00000000044"	0.0557510510390424	0.325061083678006	3.06038250977364	0.106215834994446	0.915411107508816	NA	"Stable"	NA	"617922"	"MYADML2"
"ENSBTAG00000000046"	29.6839643404592	-0.00572597172712669	0.23358876767717	-0.0245130439449907	0.980443379278387	0.996337282497732	"Stable"	NA	"526046"	"SURF2"
"ENSBTAG00000000049"	68.4875962995498	0.072283294838305	0.183864928624612	0.393132585855361	0.69422155769716	0.90413190119029	"Stable"	NA	"527084"	"CCDC77"
"ENSBTAG00000000050"	113.734064208994	-0.152269826226609	0.151215982740645	-1.00696912764685	0.313949610249209	0.693478687939434	"Stable"	NA	"510741"	"PSMG3"
"ENSBTAG00000000052"	19.0869477733015	-0.747815102897372	0.248431466934575	-3.01014646866096	0.00261121735359808	0.0722040626946592	"Stable"	NA	"617454"	"PKNOX2"
